Distance_(m),Gray_Value
0.019592,6.8908
0.019654,7.5706
0.019716,8.2737
0.019777,9.2620
0.019839,9.2504
0.019901,10.0000
0.019962,9.2271
0.020024,8.2154
0.020085,6.4076
0.020147,7.1921
0.020209,8.1805
0.020270,9.0000
0.020332,9.8428
0.020393,8.7089
0.020455,4.3333
0.020517,5.3333
0.020578,6.0000
0.020640,5.2344
0.020701,3.6667
0.020763,2.6667
0.020825,3.6667
0.020886,4.3333
0.020948,8.1087
0.021010,7.0873
0.021071,5.3624
0.021133,4.3392
0.021194,3.6608
0.021256,3.6667
0.021318,3.6861
0.021379,5.3605
0.021441,9.3159
0.021502,9.3333
0.021564,9.3333
0.021626,11.2460
0.021687,14.5677
0.021749,17.3333
0.021810,20.7889
0.021872,22.5119
0.021934,21.9515
0.021995,22.0524
0.022057,23.6667
0.022119,23.6667
0.022180,24.5255
0.022242,24.3333
0.022303,25.5230
0.022365,25.1514
0.022427,27.8409
0.022488,28.6667
0.022550,27.3333
0.022611,26.6070
0.022673,25.1902
0.022735,23.1354
0.022796,22.3581
0.022858,20.6798
0.022919,20.0015
0.022981,18.0941
0.023043,17.4081
0.023104,14.6885
0.023166,13.1621
0.023228,9.9432
0.023289,8.6667
0.023351,7.0000
0.023412,3.6667
0.023474,2.6667
0.023536,2.6667
0.023597,3.1266
0.023659,2.6667
0.023720,2.6667
0.023782,2.6667
0.023844,2.6667
0.023905,0.5182
0.023967,1.5298
0.024028,3.2082
0.024090,5.7021
0.024152,8.1295
0.024213,10.3843
0.024275,12.2547
0.024337,13.9330
0.024398,17.3333
0.024460,19.0437
0.024521,18.6089
0.024583,18.5895
0.024645,19.0087
0.024706,19.3275
0.024768,20.1980
0.024829,20.8714
0.024891,21.3561
0.024953,20.4236
0.025014,18.7259
0.025076,17.6807
0.025137,15.7482
0.025199,14.9830
0.025261,14.9675
0.025322,14.8093
0.025384,11.6705
0.025446,12.4605
0.025507,13.7263
0.025569,13.0000
0.025630,9.3333
0.025692,7.0000
0.025754,5.7792
0.025815,5.7986
0.025877,5.3333
0.025938,5.3333
0.026000,3.6667
0.026062,3.6667
0.026123,2.7293
0.026185,3.6667
0.026246,3.6274
0.026308,2.6667
0.026370,0.0160
0.026431,1.0000
0.026493,2.6667
0.026555,4.3333
0.026616,5.9796
0.026678,6.0000
0.026739,9.3333
0.026801,9.3988
0.026863,14.5124
0.026924,15.3333
0.026986,18.6332
0.027047,21.9626
0.027109,24.2921
0.027171,26.6667
0.027232,28.6667
0.027294,29.2276
0.027355,27.3333
0.027417,25.2426
0.027479,25.5376
0.027540,26.5298
0.027602,26.2610
0.027664,24.3333
0.027725,22.6667
0.027787,19.0024
0.027848,18.5449
0.027910,17.7001
0.027972,18.0000
0.028033,16.1640
0.028095,13.6667
0.028156,12.0000
0.028218,10.3333
0.028280,8.0000
0.028341,6.9277
0.028403,6.3333
0.028464,5.6667
0.028526,4.6667
0.028588,3.6667
0.028649,2.6667
0.028711,2.6667
0.028773,2.6667
0.028834,2.6667
0.028896,3.2052
0.028957,4.1936
0.029019,4.1820
0.029081,4.6739
0.029142,3.6507
0.029204,2.8006
0.029265,2.3125
0.029327,4.6667
0.029389,4.6667
0.029450,4.2329
0.029512,3.6667
0.029574,3.0771
0.029635,2.2659
0.029697,2.2581
0.029758,2.2504
0.029820,2.6667
0.029882,3.0189
0.029943,3.0073
0.030005,3.6667
0.030066,3.6667
0.030128,2.6667
0.030190,2.6667
0.030251,2.0000
0.030313,2.9374
0.030374,2.1727
0.030436,1.0000
0.030498,1.0000
0.030559,0.0000
0.030621,0.0000
0.030683,1.0000
0.030744,1.0000
0.030806,1.0000
0.030867,1.0000
0.030929,1.0000
0.030991,1.1426
0.031052,2.0000
0.031114,2.6667
0.031175,4.4512
0.031237,5.4745
0.031299,1.0000
0.031360,1.0728
0.031422,2.0000
0.031483,2.6337
0.031545,2.6414
0.031607,2.0000
0.031668,1.0146
0.031730,1.0029
0.031792,0.0000
0.031853,1.0000
0.031915,2.6667
0.031976,4.6667
0.032038,4.7220
0.032100,4.6667
0.032161,3.6667
0.032223,3.6667
0.032284,7.0000
0.032346,7.1135
0.032408,8.1252
0.032469,9.1368
0.032531,9.1485
0.032592,9.1601
0.032654,9.1718
0.032716,8.3668
0.032777,9.1951
0.032839,9.3445
0.032901,11.0728
0.032962,11.8200
0.033024,13.3333
0.033085,15.0801
0.033147,15.7351
0.033209,15.7234
0.033270,18.4803
0.033332,15.8331
0.033393,11.8743
0.033455,9.3231
0.033517,10.0000
0.033578,10.8845
0.033640,11.5473
0.033701,11.5434
0.033763,12.9520
0.033825,12.5473
0.033886,11.2620
0.033948,9.9728
0.034010,9.5721
0.034071,9.5604
0.034133,9.9146
0.034194,11.3333
0.034256,12.5255
0.034318,13.3333
0.034379,15.1674
0.034441,17.3270
0.034502,19.4648
0.034564,22.4236
0.034626,24.7001
0.034687,26.3692
0.034749,33.8734
0.034810,36.0160
0.034872,39.4391
0.034934,42.1237
0.034995,44.9762
0.035057,46.4580
0.035119,47.6041
0.035180,49.6667
0.035242,49.5653
0.035303,51.4367
0.035365,53.1931
0.035427,53.0723
0.035488,53.7234
0.035550,56.0936
0.035611,59.2436
0.035673,61.6463
0.035735,55.7540
0.035796,51.1771
0.035858,46.3333
0.035919,45.1223
0.035981,47.6012
0.036043,49.9782
0.036104,50.8049
0.036166,48.2280
0.036228,46.3333
0.036289,44.2901
0.036351,41.5992
0.036412,33.1747
0.036474,22.6604
0.036536,12.5090
0.036597,7.4440
0.036659,5.1664
0.036720,7.6667
0.036782,6.0000
0.036844,6.9636
0.036905,6.0247
0.036967,9.3333
0.037028,12.3324
0.037090,15.3537
0.037152,19.3479
0.037213,27.2217
0.037275,36.8045
0.037337,45.0306
0.037398,48.2106
0.037460,47.1329
0.037521,44.6914
0.037583,46.6443
0.037645,49.7584
0.037706,55.7802
0.037768,55.7448
0.037829,55.1169
0.037891,58.2897
0.037953,63.3333
0.038014,66.3081
0.038076,67.6608
0.038137,64.6803
0.038199,55.9854
0.038261,50.5153
0.038322,48.0000
0.038384,51.1383
0.038446,57.6477
0.038507,60.7011
0.038569,59.0689
0.038630,53.8632
0.038692,54.4148
0.038754,57.5235
0.038815,57.0320
0.038877,47.4789
0.038938,39.1310
0.039000,36.2373
0.039062,37.2475
0.039123,35.8835
0.039185,32.0306
0.039247,29.1436
0.039308,25.3843
0.039370,21.4702
0.039431,18.9617
0.039493,18.6550
0.039555,19.5386
0.039616,20.7632
0.039678,22.6647
0.039739,29.5255
0.039801,37.2344
0.039863,42.5798
0.039924,45.9098
0.039986,47.5900
0.040047,51.9539
0.040109,56.3654
0.040171,60.3586
0.040232,60.5279
0.040294,57.6405
0.040356,54.3333
0.040417,52.6667
0.040479,55.5182
0.040540,62.0995
0.040602,69.0291
0.040664,64.0277
0.040725,66.5167
0.040787,76.7428
0.040848,84.4891
0.040910,82.0898
0.040972,70.8486
0.041033,62.7627
0.041095,61.8219
0.041156,59.8850
0.041218,62.1718
0.041280,66.3925
0.041341,71.4347
0.041403,77.9418
0.041465,76.4964
0.041526,66.1514
0.041588,52.8996
0.041649,47.1198
0.041711,43.3721
0.041773,44.1048
0.041834,44.2712
0.041896,38.7011
0.041957,28.8370
0.042019,24.0000
0.042081,23.8219
0.042142,25.3683
0.042204,21.0233
0.042265,19.6977
0.042327,28.0000
0.042389,39.2984
0.042450,46.3178
0.042512,45.0509
0.042574,43.6604
0.042635,69.6084
0.042697,67.6667
0.042758,69.0146
0.042820,77.2072
0.042882,84.0029
0.042943,80.3586
0.043005,69.8360
0.043066,60.1936
0.043128,66.4449
0.043190,71.0616
0.043251,74.0742
0.043313,76.1242
0.043374,82.3435
0.043436,85.3231
0.043498,84.6016
0.043559,81.5934
0.043621,77.5852
0.043683,88.4270
0.043744,90.6191
0.043806,81.1557
0.043867,72.3590
0.043929,74.9723
0.043991,82.0961
0.044052,82.8908
0.044114,72.4119
0.044175,65.5415
0.044237,60.6846
0.044299,57.8365
0.044360,55.2576
0.044422,47.0068
0.044483,34.6177
0.044545,22.6230
0.044607,17.7288
0.044668,13.5900
0.044730,10.9403
0.044792,9.2693
0.044853,10.1441
0.044915,12.9563
0.044976,17.3377
0.045038,21.4076
0.045100,39.1601
0.045161,49.5832
0.045223,56.9685
0.045284,56.2547
0.045346,48.6667
0.045408,42.8312
0.045469,42.3231
0.045531,46.2018
0.045592,51.8229
0.045654,54.5808
0.045716,56.0786
0.045777,56.4639
0.045839,56.8908
0.045901,54.3508
0.045962,53.9364
0.046024,52.5983
0.046085,51.9403
0.046147,49.6875
0.046209,47.0859
0.046270,42.4624
0.046332,37.7826
0.046393,33.3362
0.046455,31.3333
0.046517,28.3197
0.046578,25.3333
0.046640,22.9384
0.046701,19.5512
0.046763,15.2897
0.046825,11.4168
0.046886,9.1029
0.046948,7.2911
0.047010,6.0000
0.047071,6.6211
0.047133,4.1194
0.047194,2.6667
0.047256,2.0456
0.047318,1.0946
0.047379,2.0301
0.047441,2.6109
